CountryName,CountryCode,RegionName,RegionCode,Jurisdiction,date,C1M_School closing,C1M_Flag,C2M_Workplace closing,C2M_Flag,C3M_Cancel public events,C3M_Flag,C4M_Restrictions on gatherings,C4M_Flag,C5M_Close public transport,C5M_Flag,C6M_Stay at home requirements,C6M_Flag,C7M_Restrictions on internal movement,C7M_Flag,C8EV_International travel controls,E1_Income support,E1_Flag,E2_Debt/contract relief,E3_Fiscal measures,E4_International support,H1_Public information campaigns,H1_Flag,H2_Testing policy,H3_Contact tracing,H4_Emergency investment in healthcare,H5_Investment in vaccines,H6M_Facial Coverings,H6M_Flag,H7_Vaccination policy,H7_Flag,H8M_Protection of elderly people,H8M_Flag,M1_Wildcard,V1_Vaccine Prioritisation (summary),V2A_Vaccine Availability (summary),V2B_Vaccine age eligibility/availability age floor (general population summary),V2C_Vaccine age eligibility/availability age floor (at risk summary),V2D_Medically/ clinically vulnerable (Non-elderly),V2E_Education,V2F_Frontline workers  (non healthcare),V2G_Frontline workers  (healthcare),V3_Vaccine Financial Support (summary),V4_Mandatory Vaccination (summary),ConfirmedCases,ConfirmedDeaths,MajorityVaccinated,PopulationVaccinated,StringencyIndex_Average,StringencyIndex_Average_ForDisplay,GovernmentResponseIndex_Average,GovernmentResponseIndex_Average_ForDisplay,ContainmentHealthIndex_Average,ContainmentHealthIndex_Average_ForDisplay,EconomicSupportIndex,EconomicSupportIndex_ForDisplay
Germany,DEU,,,NAT_TOTAL,2020-1-12,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0,0,,,0,0,0,0,1,0,,,,,,,,,,,,
Germany,DEU,,,NAT_TOTAL,2020-1-13,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0,0,,,0,0,0,0,1,0,,,,,,,,,,,,
Germany,DEU,,,NAT_TOTAL,2020-1-14,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0,0,,,0,0,0,0,1,0,,,,,,,,,,,,
Germany,DEU,,,NAT_TOTAL,2020-1-15,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0,0,,,0,0,0,0,1,0,,,,,,,,,,,,
Germany,DEU,,,NAT_TOTAL,2020-1-16,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0,0,,,0,0,0,0,1,0,,,,,,,,,,,,
Germany,DEU,,,NAT_TOTAL,2020-1-17,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0,0,,,0,0,0,0,1,0,,,,,,,,,,,,
Germany,DEU,,,NAT_TOTAL,2020-1-18,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0,0,,,0,0,0,0,1,0,,,,,,,,,,,,
Germany,DEU,,,NAT_TOTAL,2020-1-19,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0,0,,,0,0,0,0,1,0,,,,,,,,,,,,
Germany,DEU,,,NAT_TOTAL,2020-1-20,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0,0,,,0,0,0,0,1,0,,,,,,,,,,,,
Germany,DEU,,,NAT_TOTAL,2020-1-21,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0,0,,,0,0,0,0,1,0,,,,,,,,,,,,
Germany,DEU,,,NAT_TOTAL,2020-1-22,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,,0.00,2.00,0.00,0.00,0.00,,0.00,,0.00,,,0,0,,,0,0,0,0,1,0,0,0,NV,0.00,0.00,0.00,6.25,6.25,7.14,7.14,0.00,0.00
Germany,DEU,,,NAT_TOTAL,2020-1-23,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,,0.00,2.00,0.00,0.00,0.00,,0.00,,0.00,,,0,0,,,0,0,0,0,1,0,0,0,NV,0.00,0.00,0.00,6.25,6.25,7.14,7.14,0.00,0.00
Germany,DEU,,,NAT_TOTAL,2020-1-24,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,0.00,,0.00,0.00,0.00,1.00,1,0.00,2.00,0.00,0.00,0.00,,0.00,,0.00,,,0,0,,,0,0,0,0,1,0,0,0,NV,0.00,5.56,5.56,9.38,9.38,10.71,10.71,0.00,0.00
Germany,DEU,,,NAT_TOTAL,2020-1-25,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,0.00,,0.00,0.00,0.00,1.00,1,0.00,2.00,0.00,0.00,0.00,,0.00,,0.00,,,0,0,,,0,0,0,0,1,0,0,0,NV,0.00,5.56,5.56,9.38,9.38,10.71,10.71,0.00,0.00
Germany,DEU,,,NAT_TOTAL,2020-1-26,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,0.00,,0.00,0.00,0.00,1.00,1,0.00,2.00,0.00,0.00,0.00,,0.00,,0.00,,,0,0,,,0,0,0,0,1,0,0,0,NV,0.00,5.56,5.56,9.38,9.38,10.71,10.71,0.00,0.00
Germany,DEU,,,NAT_TOTAL,2020-1-27,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,0.00,,0.00,0.00,0.00,1.00,1,1.00,2.00,0.00,0.00,0.00,,0.00,,0.00,,,0,0,,,0,0,0,0,1,0,1,0,NV,0.00,5.56,5.56,11.46,11.46,13.10,13.10,0.00,0.00
Germany,DEU,,,NAT_TOTAL,2020-1-28,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,0.00,,0.00,0.00,0.00,1.00,1,1.00,2.00,0.00,0.00,0.00,,0.00,,0.00,,,0,0,,,0,0,0,0,1,0,4,0,NV,0.00,5.56,5.56,11.46,11.46,13.10,13.10,0.00,0.00
Germany,DEU,,,NAT_TOTAL,2020-1-29,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,0.00,,0.00,0.00,0.00,1.00,1,1.00,2.00,0.00,0.00,0.00,,0.00,,0.00,,,0,0,,,0,0,0,0,1,0,4,0,NV,0.00,5.56,5.56,11.46,11.46,13.10,13.10,0.00,0.00
Germany,DEU,,,NAT_TOTAL,2020-1-30,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,0.00,,0.00,0.00,0.00,1.00,1,1.00,2.00,0.00,0.00,0.00,,0.00,,0.00,,,0,0,,,0,0,0,0,1,0,4,0,NV,0.00,5.56,5.56,11.46,11.46,13.10,13.10,0.00,0.00
Germany,DEU,,,NAT_TOTAL,2020-1-31,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,0.00,,0.00,0.00,0.00,1.00,1,1.00,2.00,0.00,0.00,0.00,,0.00,,0.00,,,0,0,,,0,0,0,0,1,0,5,0,NV,0.00,5.56,5.56,11.46,11.46,13.10,13.10,0.00,0.00
Germany,DEU,,,NAT_TOTAL,2020-2-1,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,0.00,,0.00,0.00,0.00,1.00,1,1.00,2.00,0.00,0.00,0.00,,0.00,,0.00,,,0,0,,,0,0,0,0,1,0,8,0,NV,0.00,5.56,5.56,11.46,11.46,13.10,13.10,0.00,0.00
Germany,DEU,,,NAT_TOTAL,2020-2-2,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,0.00,,0.00,0.00,0.00,1.00,1,1.00,2.00,0.00,0.00,0.00,,0.00,,0.00,,,0,0,,,0,0,0,0,1,0,10,0,NV,0.00,5.56,5.56,11.46,11.46,13.10,13.10,0.00,0.00
Germany,DEU,,,NAT_TOTAL,2020-2-3,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,0.00,,0.00,0.00,0.00,1.00,1,1.00,2.00,0.00,0.00,0.00,,0.00,,0.00,,,0,0,,,0,0,0,0,1,0,12,0,NV,0.00,5.56,5.56,11.46,11.46,13.10,13.10,0.00,0.00
Germany,DEU,,,NAT_TOTAL,2020-2-4,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,0.00,,0.00,0.00,0.00,1.00,1,1.00,2.00,0.00,0.00,0.00,,0.00,,0.00,,,0,0,,,0,0,0,0,1,0,12,0,NV,0.00,5.56,5.56,11.46,11.46,13.10,13.10,0.00,0.00
Germany,DEU,,,NAT_TOTAL,2020-2-5,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,0.00,,0.00,0.00,0.00,1.00,1,1.00,2.00,0.00,0.00,0.00,,0.00,,0.00,,,0,0,,,0,0,0,0,1,0,12,0,NV,0.00,5.56,5.56,11.46,11.46,13.10,13.10,0.00,0.00
Germany,DEU,,,NAT_TOTAL,2020-2-6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,0.00,,0.00,0.00,0.00,1.00,1,1.00,2.00,0.00,8010337.00,0.00,,0.00,,0.00,,,0,0,,,0,0,0,0,1,0,12,0,NV,0.00,5.56,5.56,11.46,11.46,13.10,13.10,0.00,0.00
Germany,DEU,,,NAT_TOTAL,2020-2-7,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,0.00,,0.00,0.00,0.00,1.00,1,1.00,2.00,0.00,0.00,0.00,,0.00,,0.00,,,0,0,,,0,0,0,0,1,0,13,0,NV,0.00,5.56,5.56,11.46,11.46,13.10,13.10,0.00,0.00
Germany,DEU,,,NAT_TOTAL,2020-2-8,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,0.00,,0.00,0.00,0.00,1.00,1,1.00,2.00,0.00,0.00,0.00,,0.00,,0.00,,,0,0,,,0,0,0,0,1,0,13,0,NV,0.00,5.56,5.56,11.46,11.46,13.10,13.10,0.00,0.00
Germany,DEU,,,NAT_TOTAL,2020-2-9,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,0.00,,0.00,0.00,0.00,1.00,1,1.00,2.00,0.00,0.00,0.00,,0.00,,0.00,,,0,0,,,0,0,0,0,1,0,14,0,NV,0.00,5.56,5.56,11.46,11.46,13.10,13.10,0.00,0.00
Germany,DEU,,,NAT_TOTAL,2020-2-10,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,0.00,,0.00,0.00,0.00,1.00,1,1.00,2.00,0.00,0.00,0.00,,0.00,,0.00,,,0,0,,,0,0,0,0,1,0,14,0,NV,0.00,5.56,5.56,11.46,11.46,13.10,13.10,0.00,0.00
Germany,DEU,,,NAT_TOTAL,2020-2-11,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,0.00,,0.00,0.00,0.00,1.00,1,1.00,2.00,0.00,0.00,0.00,,0.00,,0.00,,,0,0,,,0,0,0,0,1,0,16,0,NV,0.00,5.56,5.56,11.46,11.46,13.10,13.10,0.00,0.00
Germany,DEU,,,NAT_TOTAL,2020-2-12,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,0.00,,0.00,0.00,0.00,2.00,1,1.00,2.00,0.00,0.00,0.00,,0.00,,0.00,,,0,0,,,0,0,0,0,1,0,16,0,NV,0.00,11.11,11.11,14.58,14.58,16.67,16.67,0.00,0.00
Germany,DEU,,,NAT_TOTAL,2020-2-13,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,0.00,,0.00,0.00,0.00,2.00,1,1.00,2.00,0.00,0.00,0.00,,0.00,,0.00,,,0,0,,,0,0,0,0,1,0,16,0,NV,0.00,11.11,11.11,14.58,14.58,16.67,16.67,0.00,0.00
Germany,DEU,,,NAT_TOTAL,2020-2-14,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,0.00,,0.00,0.00,0.00,2.00,1,1.00,2.00,0.00,0.00,0.00,,0.00,,0.00,,,0,0,,,0,0,0,0,1,0,16,0,NV,0.00,11.11,11.11,14.58,14.58,16.67,16.67,0.00,0.00
Germany,DEU,,,NAT_TOTAL,2020-2-15,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,0.00,,0.00,0.00,0.00,2.00,1,1.00,2.00,0.00,0.00,0.00,,0.00,,0.00,,,0,0,,,0,0,0,0,1,0,16,0,NV,0.00,11.11,11.11,14.58,14.58,16.67,16.67,0.00,0.00
Germany,DEU,,,NAT_TOTAL,2020-2-16,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,0.00,,0.00,0.00,0.00,2.00,1,1.00,2.00,0.00,0.00,0.00,,0.00,,0.00,,,0,0,,,0,0,0,0,1,0,16,0,NV,0.00,11.11,11.11,14.58,14.58,16.67,16.67,0.00,0.00
Germany,DEU,,,NAT_TOTAL,2020-2-17,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,0.00,,0.00,0.00,0.00,2.00,1,1.00,2.00,0.00,0.00,0.00,,0.00,,0.00,,,0,0,,,0,0,0,0,1,0,16,0,NV,0.00,11.11,11.11,14.58,14.58,16.67,16.67,0.00,0.00
Germany,DEU,,,NAT_TOTAL,2020-2-18,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,0.00,,0.00,0.00,0.00,2.00,1,1.00,2.00,0.00,0.00,0.00,,0.00,,0.00,,,0,0,,,0,0,0,0,1,0,16,0,NV,0.00,11.11,11.11,14.58,14.58,16.67,16.67,0.00,0.00
Germany,DEU,,,NAT_TOTAL,2020-2-19,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,0.00,,0.00,0.00,0.00,2.00,1,1.00,2.00,0.00,0.00,0.00,,0.00,,0.00,,,0,0,,,0,0,0,0,1,0,16,0,NV,0.00,11.11,11.11,14.58,14.58,16.67,16.67,0.00,0.00
Germany,DEU,,,NAT_TOTAL,2020-2-20,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,0.00,,0.00,0.00,0.00,2.00,1,1.00,2.00,0.00,0.00,0.00,,0.00,,0.00,,,0,0,,,0,0,0,0,1,0,16,0,NV,0.00,11.11,11.11,14.58,14.58,16.67,16.67,0.00,0.00
Germany,DEU,,,NAT_TOTAL,2020-2-21,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,0.00,,0.00,0.00,0.00,2.00,1,1.00,2.00,0.00,0.00,0.00,,0.00,,0.00,,,0,0,,,0,0,0,0,1,0,16,0,NV,0.00,11.11,11.11,14.58,14.58,16.67,16.67,0.00,0.00
Germany,DEU,,,NAT_TOTAL,2020-2-22,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,0.00,,0.00,0.00,0.00,2.00,1,1.00,2.00,0.00,0.00,0.00,,0.00,,0.00,,,0,0,,,0,0,0,0,1,0,16,0,NV,0.00,11.11,11.11,14.58,14.58,16.67,16.67,0.00,0.00
Germany,DEU,,,NAT_TOTAL,2020-2-23,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,0.00,,0.00,0.00,0.00,2.00,1,1.00,2.00,0.00,0.00,0.00,,0.00,,0.00,,,0,0,,,0,0,0,0,1,0,16,0,NV,0.00,11.11,11.11,14.58,14.58,16.67,16.67,0.00,0.00
Germany,DEU,,,NAT_TOTAL,2020-2-24,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,0.00,,0.00,0.00,0.00,2.00,1,1.00,2.00,0.00,0.00,0.00,,0.00,,0.00,,,0,0,,,0,0,0,0,1,0,16,0,NV,0.00,11.11,11.11,14.58,14.58,16.67,16.67,0.00,0.00
Germany,DEU,,,NAT_TOTAL,2020-2-25,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,0.00,,0.00,0.00,0.00,2.00,1,1.00,2.00,0.00,0.00,0.00,,0.00,,0.00,,,0,0,,,0,0,0,0,1,0,16,0,NV,0.00,11.11,11.11,14.58,14.58,16.67,16.67,0.00,0.00
Germany,DEU,,,NAT_TOTAL,2020-2-26,2.00,0,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,0.00,,0.00,0.00,0.00,2.00,1,1.00,2.00,0.00,0.00,0.00,,0.00,,0.00,,,0,0,,,0,0,0,0,1,0,21,0,NV,0.00,16.67,16.67,17.71,17.71,20.24,20.24,0.00,0.00
Germany,DEU,,,NAT_TOTAL,2020-2-27,2.00,0,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,0.00,,0.00,0.00,0.00,2.00,1,1.00,2.00,0.00,0.00,0.00,,0.00,,0.00,,,0,0,,,0,0,0,0,1,0,26,0,NV,0.00,16.67,16.67,17.71,17.71,20.24,20.24,0.00,0.00
Germany,DEU,,,NAT_TOTAL,2020-2-28,2.00,0,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,1.00,0.00,,0.00,0.00,0.00,2.00,1,1.00,2.00,0.00,0.00,0.00,,0.00,,1.00,1,,0,0,,,0,0,0,0,1,0,53,0,NV,0.00,19.44,19.44,21.35,21.35,24.40,24.40,0.00,0.00
Germany,DEU,,,NAT_TOTAL,2020-2-29,2.00,0,0.00,,1.00,1,0.00,,0.00,,0.00,,0.00,,1.00,0.00,,0.00,0.00,0.00,2.00,1,1.00,2.00,0.00,0.00,0.00,,0.00,,1.00,1,,0,0,,,0,0,0,0,1,0,66,0,NV,0.00,25.00,25.00,24.48,24.48,27.98,27.98,0.00,0.00
Germany,DEU,,,NAT_TOTAL,2020-3-1,2.00,0,0.00,,1.00,1,0.00,,0.00,,0.00,,0.00,,1.00,0.00,,0.00,0.00,0.00,2.00,1,1.00,2.00,0.00,0.00,0.00,,0.00,,1.00,1,,0,0,,,0,0,0,0,1,0,117,0,NV,0.00,25.00,25.00,24.48,24.48,27.98,27.98,0.00,0.00
Germany,DEU,,,NAT_TOTAL,2020-3-2,2.00,0,0.00,,1.00,1,0.00,,0.00,,0.00,,0.00,,1.00,0.00,,0.00,0.00,0.00,2.00,1,1.00,2.00,0.00,0.00,0.00,,0.00,,1.00,1,,0,0,,,0,0,0,0,1,0,150,0,NV,0.00,25.00,25.00,24.48,24.48,27.98,27.98,0.00,0.00
Germany,DEU,,,NAT_TOTAL,2020-3-3,2.00,0,0.00,,1.00,1,0.00,,0.00,,0.00,,0.00,,1.00,0.00,,0.00,0.00,0.00,2.00,1,1.00,2.00,0.00,0.00,0.00,,0.00,,1.00,1,,0,0,,,0,0,0,0,1,0,188,0,NV,0.00,25.00,25.00,24.48,24.48,27.98,27.98,0.00,0.00
Germany,DEU,,,NAT_TOTAL,2020-3-4,2.00,0,0.00,,1.00,1,0.00,,0.00,,0.00,,0.00,,1.00,0.00,,0.00,0.00,0.00,2.00,1,1.00,2.00,0.00,0.00,0.00,,0.00,,1.00,1,,0,0,,,0,0,0,0,1,0,262,0,NV,0.00,25.00,25.00,24.48,24.48,27.98,27.98,0.00,0.00
Germany,DEU,,,NAT_TOTAL,2020-3-5,2.00,0,0.00,,1.00,1,0.00,,0.00,,0.00,,0.00,,1.00,0.00,,0.00,0.00,0.00,2.00,1,1.00,2.00,0.00,0.00,0.00,,0.00,,1.00,1,,0,0,,,0,0,0,0,1,0,400,0,NV,0.00,25.00,25.00,24.48,24.48,27.98,27.98,0.00,0.00
Germany,DEU,,,NAT_TOTAL,2020-3-6,2.00,0,0.00,,1.00,1,0.00,,0.00,,0.00,,0.00,,1.00,0.00,,0.00,0.00,0.00,2.00,1,1.00,2.00,0.00,0.00,0.00,,0.00,,1.00,1,,0,0,,,0,0,0,0,1,0,639,0,NV,0.00,25.00,25.00,24.48,24.48,27.98,27.98,0.00,0.00
Germany,DEU,,,NAT_TOTAL,2020-3-7,2.00,0,0.00,,1.00,1,0.00,,0.00,,0.00,,0.00,,1.00,0.00,,0.00,0.00,0.00,2.00,1,1.00,2.00,0.00,0.00,0.00,,0.00,,1.00,1,,0,0,,,0,0,0,0,1,0,795,0,NV,0.00,25.00,25.00,24.48,24.48,27.98,27.98,0.00,0.00
Germany,DEU,,,NAT_TOTAL,2020-3-8,2.00,0,0.00,,1.00,1,0.00,,0.00,,0.00,,0.00,,1.00,0.00,,0.00,0.00,0.00,2.00,1,1.00,2.00,0.00,0.00,0.00,,0.00,,1.00,1,,0,0,,,0,0,0,0,1,0,902,0,NV,0.00,25.00,25.00,24.48,24.48,27.98,27.98,0.00,0.00
Germany,DEU,,,NAT_TOTAL,2020-3-9,2.00,0,0.00,,1.00,1,0.00,,0.00,,1.00,1,0.00,,1.00,0.00,,0.00,0.00,0.00,2.00,1,1.00,2.00,0.00,0.00,0.00,,0.00,,1.00,1,,0,0,,,0,0,0,0,1,0,1139,2,NV,0.00,28.70,28.70,26.56,26.56,30.36,30.36,0.00,0.00
Germany,DEU,,,NAT_TOTAL,2020-3-10,2.00,0,0.00,,2.00,0,1.00,0,0.00,,1.00,1,0.00,,1.00,0.00,,0.00,0.00,0.00,2.00,1,1.00,2.00,0.00,0.00,0.00,,0.00,,1.00,1,,0,0,,,0,0,0,0,1,0,1296,2,NV,0.00,32.87,32.87,28.91,28.91,33.04,33.04,0.00,0.00
Germany,DEU,,,NAT_TOTAL,2020-3-11,2.00,0,0.00,,2.00,0,1.00,0,0.00,,1.00,1,0.00,,1.00,0.00,,0.00,0.00,0.00,2.00,1,1.00,2.00,0.00,0.00,0.00,,0.00,,1.00,1,,0,0,,,0,0,0,0,1,0,1567,3,NV,0.00,32.87,32.87,28.91,28.91,33.04,33.04,0.00,0.00
Germany,DEU,,,NAT_TOTAL,2020-3-12,2.00,0,0.00,,2.00,0,1.00,0,0.00,,1.00,1,0.00,,1.00,0.00,,0.00,0.00,0.00,2.00,1,1.00,2.00,0.00,0.00,0.00,,0.00,,1.00,1,,0,0,,,0,0,0,0,1,0,2369,5,NV,0.00,32.87,32.87,28.91,28.91,33.04,33.04,0.00,0.00
